title,2means_label,3means_label,4means_label,5means_label,6means_label,7means_label,8means_label,9means_label,10means_label
the_tomb,1,2,3,1,5,3,7,6,9
dagon,0,0,1,0,1,0,6,1,1
polaris,0,0,2,0,1,5,2,1,6
beyond_the_wall_of_sleep,1,0,1,0,1,5,2,1,8
memory,0,0,2,0,0,0,6,0,1
old_bugs,1,0,1,0,3,2,6,1,7
the_transition_of_juan_romero,1,0,1,0,1,5,2,1,8
the_white_ship,0,0,2,0,1,0,2,7,1
the_doom_that_came_to_sarnath,0,0,2,0,1,0,2,1,1
the_statement_of_randolph_carter,1,0,1,0,1,1,6,1,8
the_terrible_old_man,0,0,1,2,1,0,6,1,1
the_tree,0,0,1,0,1,0,6,1,5
the_cats_of_ulthar,0,1,1,2,1,0,6,1,1
the_temple,0,0,2,0,1,5,2,1,8
facts_concerning_the_late_arthur_jermyn_and_his_family,1,0,1,0,1,5,4,4,8
the_street,1,0,1,2,1,0,6,1,1
celephaïs,0,0,2,0,0,0,2,0,1
from_beyond,1,0,2,2,1,5,2,1,8
nyarlathotep,0,0,1,0,1,5,2,1,8
the_picture_in_the_house,1,0,1,0,1,0,6,1,1
ex_oblivione,0,0,2,0,0,5,2,0,8
the_nameless_city,0,0,2,0,1,5,2,1,8
the_quest_of_iranon,0,0,1,3,1,0,2,1,1
the_moon-bog,0,0,1,0,4,0,6,1,1
the_outsider,0,0,2,0,1,5,2,1,8
the_other_gods,0,1,2,2,1,6,1,7,1
the_music_of_erich_zann,1,0,1,2,1,4,6,1,1
herbert_west_—_reanimator,1,0,3,0,1,5,6,1,8
hypnos,0,0,2,0,1,5,6,1,8
what_the_moon_brings,0,0,2,2,1,0,6,1,1
azathoth,0,0,2,0,0,5,1,0,3
the_hound,0,0,2,2,1,5,2,1,8
the_lurking_fear,0,0,1,0,1,5,2,1,8
the_rats_in_the_walls,1,1,2,0,1,5,2,1,8
the_unnamable,1,0,1,2,1,0,6,1,1
the_festival,0,0,1,2,1,0,1,7,1
the_shunned_house,1,0,1,2,1,0,6,1,8
the_horror_at_red_hook,1,0,1,0,1,0,6,1,1
he,1,0,1,0,1,0,6,1,1
in_the_vault,1,0,3,0,1,5,6,8,4
the_descendant,1,0,1,0,1,0,6,1,1
cool_air,1,0,1,2,2,5,3,1,8
the_call_of_cthulhu,1,0,1,2,1,5,6,1,8
pickman's_model,1,0,1,0,1,0,6,1,1
the_silver_key,1,0,1,0,1,5,6,1,2
the_strange_high_house_in_the_mist,0,0,1,0,1,0,1,7,1
the_dream-quest_of_unknown_kadath,0,0,2,0,1,5,2,1,2
the_case_of_charles_dexter_ward,1,0,1,2,1,5,6,1,8
the_colour_out_of_space,1,0,1,0,1,0,6,1,1
the_very_old_folk,0,0,2,0,1,0,5,3,1
the_thing_in_the_moonlight,0,0,1,0,1,0,6,1,1
the_history_of_the_necronomicon,1,0,2,0,1,5,0,5,0
ibid,1,0,0,4,1,0,6,2,1
the_dunwich_horror,1,0,1,0,1,0,6,1,1
the_whisperer_in_darkness,1,0,1,0,1,5,6,1,8
at_the_mountains_of_madness,1,0,1,0,1,5,2,1,8
the_shadow_over_innsmouth,1,0,1,0,1,0,6,1,1
the_dreams_in_the_witch_house,1,0,1,0,1,0,6,1,1
the_thing_on_the_doorstep,1,0,1,0,1,0,6,1,1
the_evil_clergyman,1,0,1,0,1,5,6,1,8
the_book,0,0,1,0,1,5,2,1,8
the_shadow_out_of_time,1,0,1,0,1,5,2,1,8
the_haunter_of_the_dark,1,2,3,1,5,3,7,6,9
