filename,word_1,word_1_count,word_2,word_2_count,word_3,word_3_count,word_4,word_4_count,word_5,word_5_count
the_tomb,old,6,certain,5,strange,5,small,4,red,4
dagon,great,5,little,4,black,4,mere,3,vast,3
polaris,strange,8,horned,5,low,4,yellow,4,red,3
beyond_the_wall_of_sleep,certain,8,little,8,mental,6,great,5,decadent,5
memory,little,3,old,2,accursed,1,feeble,1,lethal,1
old_bugs,old,19,young,11,certain,8,good,5,noble,3
the_transition_of_juan_romero,great,7,deep,5,new,4,wild,3,curious,3
the_white_ship,bearded,12,distant,7,strange,6,far,5,sweet,5
the_doom_that_came_to_sarnath,high,14,green,11,great,8,ancient,8,vast,7
the_statement_of_randolph_carter,terrible,4,vague,3,unknown,3,electric,3,hideous,3
the_terrible_old_man,old,10,terrible,4,feeble,4,ancient,3,certain,3
the_tree,great,7,strange,4,heavy,4,brotherly,3,beautiful,2
the_cats_of_ulthar,old,9,dark,9,small,6,little,6,strange,4
the_temple,great,9,dead,9,poor,8,german,8,mad,7
facts_concerning_the_late_arthur_jermyn_and_his_family,great,15,old,9,white,8,certain,7,wild,7
the_street,young,10,old,8,strange,7,great,5,ancient,5
celephaïs,strange,6,white,6,great,6,golden,4,old,3
from_beyond,electrical,4,unknown,4,horrible,3,attic,3,dark,3
nyarlathotep,strange,3,old,3,hot,3,afraid,3,horrible,2
the_picture_in_the_house,old,10,small,6,young,5,white,4,new,3
ex_oblivione,little,5,shadowy,3,mighty,3,new,3,small,2
the_nameless_city,nameless,21,low,13,strange,11,small,9,terrible,7
the_quest_of_iranon,golden,10,old,10,small,8,green,6,far,4
the_moon-bog,strange,6,remote,5,old,5,ancient,5,far,5
the_outsider,terrible,5,black,5,dark,3,high,3,accursed,3
the_other_gods,high,8,old,5,great,5,unknown,4,pale,4
the_music_of_erich_zann,old,17,great,6,dumb,6,wild,6,dark,5
herbert_west_—_reanimator,fresh,28,dead,23,human,21,great,20,hideous,17
hypnos,black,7,deep,5,luminous,4,different,4,certain,4
what_the_moon_brings,dead,7,vast,3,spectral,2,old,2,yellow,2
azathoth,tall,2,lonely,2,green,2,grey,1,smoky,1
the_hound,faint,8,gigantic,6,black,6,distant,5,pale,5
the_lurking_fear,hideous,9,great,8,low,8,terrible,7,dark,7
the_rats_in_the_walls,old,17,roman,14,new,9,-,9,great,8
the_unnamable,old,15,unnamable,10,spectral,4,dark,4,little,4
the_festival,old,33,ancient,10,great,6,new,4,strange,4
the_shunned_house,old,17,great,13,new,13,certain,11,strange,10
the_horror_at_red_hook,old,25,certain,13,strange,11,dark,10,visible,7
he,old,7,black,6,ancient,5,yellow,5,deep,4
in_the_vault,old,12,little,9,possible,6,certain,5,great,5
the_descendant,old,9,strange,5,grey,3,young,3,great,3
cool_air,cool,6,little,5,cold,4,warm,4,strange,4
the_call_of_cthulhu,great,27,old,21,strange,19,young,15,dead,13
pickman's_model,old,16,human,9,great,6,afraid,5,actual,5
the_silver_key,old,24,little,12,strange,11,great,11,distant,6
the_strange_high_house_in_the_mist,ancient,12,old,11,great,11,white,8,high,8
the_dream-quest_of_unknown_kadath,great,155,black,91,old,89,high,69,little,49
the_case_of_charles_dexter_ward,old,118,great,81,certain,59,strange,45,young,42
the_colour_out_of_space,strange,24,old,22,grey,15,great,14,dark,13
the_very_old_folk,roman,14,little,7,old,7,great,5,young,4
the_thing_in_the_moonlight,dark,2,singular,2,literary,1,unconquerable,1,asleep,1
the_history_of_the_necronomicon,latin,5,terrible,3,certain,3,greek,3,original,2
ibid,roman,3,new,3,famous,2,genuine,2,eminent,2
the_dunwich_horror,old,38,great,32,strange,18,certain,17,human,17
the_whisperer_in_darkness,certain,42,human,42,great,36,strange,31,old,28
at_the_mountains_of_madness,great,107,certain,61,high,56,vast,48,-,45
the_shadow_over_innsmouth,old,77,little,25,great,24,bad,24,strange,21
the_dreams_in_the_witch_house,old,57,black,26,small,25,certain,24,little,23
the_thing_on_the_doorstep,old,44,certain,16,good,12,wild,11,horrible,10
the_evil_clergyman,dark,6,small,5,strange,4,peculiar,3,thin,3
the_book,strange,4,great,4,unknown,4,black,3,old,3
the_shadow_out_of_time,great,66,certain,36,strange,33,human,27,old,25
the_haunter_of_the_dark,old,6,certain,5,strange,5,small,4,red,4
