filename,word_1,word_1_count,word_2,word_2_count,word_3,word_3_count,word_4,word_4_count,word_5,word_5_count
the_tomb,tomb,18,thing,14,vault,12,time,11,door,11
dagon,day,9,thing,9,boat,8,moon,8,water,7
polaris,city,9,man,9,night,7,swamp,6,peak,6
beyond_the_wall_of_sleep,man,19,thing,16,life,14,dream,13,eye,13
memory,tree,4,stone,3,ape,3,river,3,water,3
old_bugs,life,13,bug,12,man,9,floor,8,time,8
the_transition_of_juan_romero,sound,9,man,7,ring,7,life,6,mountain,6
the_white_ship,man,28,city,13,sea,12,shore,10,night,9
the_doom_that_came_to_sarnath,lake,22,man,17,land,16,being,13,city,12
the_statement_of_randolph_carter,thing,11,voice,9,slab,8,horror,6,lantern,6
the_terrible_old_man,man,8,thing,6,gate,5,house,4,sea,4
the_tree,tree,13,olive,10,tomb,8,man,8,marble,7
the_cats_of_ulthar,cat,26,man,8,wife,7,villager,7,thing,6
the_temple,man,20,sea,18,light,13,ivory,10,ship,9
facts_concerning_the_late_arthur_jermyn_and_his_family,son,14,city,11,family,10,goddess,10,thing,8
the_street,man,26,house,19,place,12,day,9,year,7
celephaïs,city,17,sea,13,dream,12,sky,12,galley,10
from_beyond,thing,22,sense,11,servant,10,machine,9,world,9
nyarlathotep,city,5,world,4,god,4,column,4,danger,3
the_picture_in_the_house,man,17,book,13,house,11,door,9,room,7
ex_oblivione,gate,9,dream,7,wall,6,world,4,valley,4
the_nameless_city,city,32,man,24,passage,16,wind,15,stone,14
the_quest_of_iranon,city,26,man,20,song,19,dream,12,beauty,9
the_moon-bog,bog,23,night,13,castle,13,window,12,labourer,11
the_outsider,stone,12,hand,11,castle,7,light,7,tower,7
the_other_gods,god,44,earth,23,man,18,moon,15,night,12
the_music_of_erich_zann,street,16,music,15,night,15,window,14,room,11
herbert_west_—_reanimator,thing,53,body,49,life,39,specimen,34,man,28
hypnos,friend,23,man,13,time,12,night,9,face,9
what_the_moon_brings,moon,11,sea,7,face,6,stream,4,water,4
azathoth,man,6,window,6,world,5,dream,4,room,4
the_hound,thing,12,baying,11,night,11,grave,9,amulet,9
the_lurking_fear,mansion,29,fear,27,night,20,thing,18,eye,18
the_rats_in_the_walls,rat,32,cat,27,wall,19,man,17,family,15
the_unnamable,thing,17,window,14,house,13,friend,8,man,7
the_festival,man,16,town,12,snow,10,house,9,hill,8
the_shunned_house,house,55,uncle,36,thing,28,time,21,door,20
the_horror_at_red_hook,thing,26,man,23,house,19,horror,13,police,13
he,man,17,window,14,time,12,wall,10,thing,9
in_the_vault,coffin,21,tomb,13,horse,9,door,8,man,7
the_descendant,man,7,life,4,friend,4,thing,4,cat,3
cool_air,room,18,day,10,man,10,door,10,air,9
the_call_of_cthulhu,man,56,dream,38,cult,35,thing,29,uncle,26
pickman's_model,thing,25,man,15,life,15,place,14,cellar,12
the_silver_key,thing,23,dream,21,key,19,life,15,way,11
the_strange_high_house_in_the_mist,mist,23,cliff,16,window,14,sea,13,crag,11
the_dream-quest_of_unknown_kadath,ghoul,129,night,123,man,106,city,98,thing,92
the_case_of_charles_dexter_ward,man,107,time,106,thing,78,doctor,68,letter,64
the_colour_out_of_space,thing,35,man,32,colour,30,night,24,day,23
the_very_old_folk,cohort,16,hill,13,town,9,folk,8,night,7
the_thing_in_the_moonlight,car,4,night,4,thing,3,moonlight,3,railway,3
the_history_of_the_necronomicon,text,7,century,5,desert,4,cent,3,translation,3
ibid,skull,10,age,5,year,5,work,4,century,4
the_dunwich_horror,man,46,hill,44,thing,42,time,31,place,27
the_whisperer_in_darkness,thing,100,man,71,letter,69,time,62,voice,57
at_the_mountains_of_madness,thing,99,foot,92,city,89,mountain,72,camp,67
the_shadow_over_innsmouth,thing,85,folk,50,time,49,man,44,door,44
the_dreams_in_the_witch_house,room,46,dream,40,thing,38,rat,35,space,33
the_thing_on_the_doorstep,thing,36,body,34,time,33,day,18,house,17
the_evil_clergyman,man,10,room,7,light,6,table,5,book,4
the_book,book,7,gateway,5,time,4,room,4,night,4
the_shadow_out_of_time,dream,83,time,78,mind,77,case,61,thing,48
the_haunter_of_the_dark,tomb,18,thing,14,vault,12,time,11,door,11
