title,2means_label,3means_label,4means_label,5means_label,6means_label,7means_label,8means_label,9means_label,10means_label
the_tomb,1,0,2,4,4,4,5,4,4
dagon,1,0,1,2,1,6,4,5,3
polaris,0,0,3,2,1,1,4,2,3
beyond_the_wall_of_sleep,1,0,1,4,2,5,1,5,4
memory,0,0,1,2,1,6,0,2,3
old_bugs,1,2,1,0,3,2,6,5,5
the_transition_of_juan_romero,1,0,1,4,2,3,4,5,3
the_white_ship,0,1,3,2,1,1,2,1,3
the_doom_that_came_to_sarnath,0,0,3,2,1,1,2,5,3
the_statement_of_randolph_carter,1,1,2,1,1,3,4,7,2
the_terrible_old_man,1,2,3,2,1,4,6,2,0
the_tree,0,0,3,2,1,1,1,8,9
the_cats_of_ulthar,1,1,1,3,1,4,3,6,6
the_temple,1,0,1,2,1,6,4,5,3
facts_concerning_the_late_arthur_jermyn_and_his_family,1,0,1,1,2,5,1,5,7
the_street,0,2,3,2,1,4,6,2,0
celephaïs,0,1,3,2,1,1,2,1,3
from_beyond,1,0,2,1,2,3,5,5,0
nyarlathotep,0,0,0,2,1,4,4,2,3
the_picture_in_the_house,1,2,1,0,3,0,6,2,8
ex_oblivione,0,0,3,2,1,1,0,1,3
the_nameless_city,0,0,1,2,1,4,4,5,3
the_quest_of_iranon,0,0,3,2,0,1,2,2,1
the_moon-bog,0,0,1,2,1,4,4,2,3
the_outsider,1,0,1,4,1,4,4,4,3
the_other_gods,0,1,0,3,1,1,3,6,6
the_music_of_erich_zann,1,2,1,1,5,4,5,2,0
herbert_west_—_reanimator,1,2,1,1,2,5,1,5,0
hypnos,1,0,1,1,2,3,4,0,3
what_the_moon_brings,0,0,1,2,1,1,2,2,3
azathoth,0,0,3,2,1,1,2,2,3
the_hound,1,0,2,4,1,4,4,4,3
the_lurking_fear,1,0,2,4,2,3,4,5,4
the_rats_in_the_walls,1,0,1,3,5,4,4,5,3
the_unnamable,1,2,2,1,4,4,6,4,4
the_festival,1,2,1,1,1,4,5,2,3
the_shunned_house,1,2,1,1,2,4,1,0,0
the_horror_at_red_hook,1,2,1,4,2,4,6,0,0
he,1,2,1,0,1,4,5,2,3
in_the_vault,1,2,1,1,3,5,6,4,4
the_descendant,1,2,1,1,1,4,1,0,3
cool_air,1,2,1,0,2,5,6,5,0
the_call_of_cthulhu,1,0,1,4,2,3,1,0,0
pickman's_model,1,2,1,1,2,2,6,2,5
the_silver_key,1,1,1,1,1,4,5,7,2
the_strange_high_house_in_the_mist,1,1,1,2,1,4,5,2,3
the_dream-quest_of_unknown_kadath,0,1,1,2,1,1,4,7,2
the_case_of_charles_dexter_ward,1,2,1,0,2,3,6,5,0
the_colour_out_of_space,1,2,1,1,3,0,6,2,0
the_very_old_folk,1,2,1,4,2,4,6,5,3
the_thing_in_the_moonlight,0,2,1,4,1,6,6,2,3
the_history_of_the_necronomicon,1,0,2,0,3,2,1,0,5
ibid,1,2,1,1,2,5,7,3,0
the_dunwich_horror,1,2,1,0,3,0,6,5,8
the_whisperer_in_darkness,1,2,1,4,2,3,6,5,0
at_the_mountains_of_madness,1,0,1,4,2,3,4,5,3
the_shadow_over_innsmouth,1,2,1,0,3,0,6,2,8
the_dreams_in_the_witch_house,1,2,1,1,5,4,6,5,0
the_thing_on_the_doorstep,1,2,1,1,2,3,6,5,0
the_evil_clergyman,1,2,1,0,5,4,5,2,5
the_book,1,0,1,0,5,4,4,5,3
the_shadow_out_of_time,1,0,1,4,2,3,4,5,3
the_haunter_of_the_dark,1,0,2,4,4,4,5,4,4
